Successfuly read failed26/ADGRA3.fas, in total 298 sequences.
Successfuly read hg38_species_name_cleaned/CFAP73.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/CFAP74.fas, in total 378 sequences.
Successfuly read hg38_species_name_cleaned/CFAP77.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/CFAP91.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CFAP92.fas, in total 384 sequences.
Successfuly read hg38_species_name_cleaned/CFAP94.fas, in total 397 sequences.
Successfuly read hg38_species_name_cleaned/CFAP97.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/CFAP97D1.fas, in total 440 sequences.
Successfuly read hg38_species_name_cleaned/CFAP97D2.fas, in total 340 sequences.
Successfuly read hg38_species_name_cleaned/CFAP99.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/CFB.fas, in total 439 sequences.
Successfuly read hg38_species_name_cleaned/CFC1.fas, in total 402 sequences.
Successfuly read hg38_species_name_cleaned/CFC1B.fas, in total 406 sequences.
Successfuly read hg38_species_name_cleaned/CFD.fas, in total 393 sequences.
Successfuly read hg38_species_name_cleaned/CFDP1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CFI.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/CFL1.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/CFL2.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/CFLAR.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CFP.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/CFTR.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CGA.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/CGAS.fas, in total 400 sequences.
Successfuly read hg38_species_name_cleaned/CGB2.fas, in total 401 sequences.
Successfuly read hg38_species_name_cleaned/CGB5.fas, in total 401 sequences.
Successfuly read hg38_species_name_cleaned/CGGBP1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CGN.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CGNL1.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/CGREF1.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CGRRF1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CH25H.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/CH507-9B2.fas, in total 413 sequences.
Successfuly read hg38_species_name_cleaned/CHAC1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CHAC2.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CHAD.fas, in total 416 sequences.
Successfuly read hg38_species_name_cleaned/CHADL.fas, in total 359 sequences.
Successfuly read hg38_species_name_cleaned/CHAF1A.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/CHAF1B.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CHAMP1.fas, in total 381 sequences.
Successfuly read hg38_species_name_cleaned/CHAT.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/CHCHD1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CHCHD10.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/CHCHD2.fas, in total 410 sequences.
Successfuly read hg38_species_name_cleaned/CHCHD3.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CHCHD4.fas, in total 417 sequences.
Successfuly read hg38_species_name_cleaned/CHCHD5.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/CHCHD6.fas, in total 407 sequences.
Successfuly read hg38_species_name_cleaned/CHCHD7.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CHD1.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/CHD1L.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/CHD2.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CHD3.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CHD4.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CHD5.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/CHD6.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CHD7.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CHD8.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CHD9.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CHDH.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CHEK1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CHEK2.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CHERP.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/CHFR.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CHGA.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CHGB.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/CHI3L1.fas, in total 406 sequences.
Successfuly read hg38_species_name_cleaned/CHI3L2.fas, in total 185 sequences.
Successfuly read hg38_species_name_cleaned/CHIC1.fas, in total 410 sequences.
Successfuly read hg38_species_name_cleaned/CHIC2.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CHID1.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/CHIT1.fas, in total 293 sequences.
Successfuly read hg38_species_name_cleaned/CHKA.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/CHKB.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CHL1.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/CHM.fas, in total 400 sequences.
Successfuly read hg38_species_name_cleaned/CHML.fas, in total 416 sequences.
Successfuly read hg38_species_name_cleaned/CHMP1A.fas, in total 116 sequences.
Successfuly read hg38_species_name_cleaned/CHMP1B.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/CHMP2A.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CHMP2B.fas, in total 414 sequences.
Successfuly read hg38_species_name_cleaned/CHMP3.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/CHMP4A.fas, in total 371 sequences.
Successfuly read hg38_species_name_cleaned/CHMP4B.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CHMP4C.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CHMP5.fas, in total 439 sequences.
Successfuly read hg38_species_name_cleaned/CHMP6.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/CHMP7.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CHN1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CHN2.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/CHODL.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/CHORDC1.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CHP1.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/CHP2.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/CHPF.fas, in total 412 sequences.
Successfuly read hg38_species_name_cleaned/CHPF2.fas, in total 409 sequences.
Successfuly read hg38_species_name_cleaned/CHPT1.fas, in total 397 sequences.
Successfuly read hg38_species_name_cleaned/CHRAC1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CHRD.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/CHRDL1.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/CHRDL2.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CHRFAM7A.fas, in total 389 sequences.
Successfuly read hg38_species_name_cleaned/CHRM1.fas, in total 411 sequences.
Successfuly read hg38_species_name_cleaned/CHRM2.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CHRM3.fas, in total 405 sequences.
Successfuly read hg38_species_name_cleaned/CHRM4.fas, in total 412 sequences.
Successfuly read hg38_species_name_cleaned/CHRM5.fas, in total 412 sequences.
Successfuly read hg38_species_name_cleaned/CHRNA1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CHRNA10.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/CHRNA2.fas, in total 414 sequences.
Successfuly read hg38_species_name_cleaned/CHRNA3.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/CHRNA4.fas, in total 399 sequences.
Successfuly read hg38_species_name_cleaned/CHRNA5.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/CHRNA6.fas, in total 406 sequences.
Successfuly read hg38_species_name_cleaned/CHRNA7.fas, in total 417 sequences.
Successfuly read hg38_species_name_cleaned/CHRNA9.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CHRNB1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CHRNB2.fas, in total 389 sequences.
Successfuly read hg38_species_name_cleaned/CHRNB3.fas, in total 413 sequences.
Successfuly read hg38_species_name_cleaned/CHRNB4.fas, in total 409 sequences.
Successfuly read hg38_species_name_cleaned/CHRND.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CHRNE.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/CHRNG.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CHST1.fas, in total 409 sequences.
Successfuly read hg38_species_name_cleaned/CHST10.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CHST11.fas, in total 412 sequences.
Successfuly read hg38_species_name_cleaned/CHST12.fas, in total 389 sequences.
Successfuly read hg38_species_name_cleaned/CHST13.fas, in total 351 sequences.
Successfuly read hg38_species_name_cleaned/CHST14.fas, in total 399 sequences.
Successfuly read hg38_species_name_cleaned/CHST15.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CHST2.fas, in total 363 sequences.
Successfuly read hg38_species_name_cleaned/CHST3.fas, in total 408 sequences.
Successfuly read hg38_species_name_cleaned/CHST4.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CHST5.fas, in total 53 sequences.
Successfuly read hg38_species_name_cleaned/CHST6.fas, in total 397 sequences.
Successfuly read hg38_species_name_cleaned/CHST7.fas, in total 370 sequences.
Successfuly read hg38_species_name_cleaned/CHST8.fas, in total 410 sequences.
Successfuly read hg38_species_name_cleaned/CHST9.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/CHSY1.fas, in total 410 sequences.
Successfuly read hg38_species_name_cleaned/CHSY3.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/CHTF18.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/CHTF8.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CHTOP.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/CHUK.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CHURC1.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/CIAO1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CIAO2A.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CIAO2B.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/CIAO3.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CIAPIN1.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CIART.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CIB1.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CIB2.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/CIB3.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CIB4.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/CIBAR1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CIBAR2.fas, in total 402 sequences.
Successfuly read hg38_species_name_cleaned/CIC.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/CIDEA.fas, in total 413 sequences.
Successfuly read hg38_species_name_cleaned/CIDEB.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CIDEC.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CIITA.fas, in total 411 sequences.
Successfuly read hg38_species_name_cleaned/CILK1.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/CILP.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/CILP2.fas, in total 388 sequences.
Successfuly read hg38_species_name_cleaned/CINP.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CIP2A.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CIPC.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/CIR1.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/CIRBP.fas, in total 322 sequences.
Successfuly read hg38_species_name_cleaned/CISD1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CISD2.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CISD3.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CISH.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CIT.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CITED1.fas, in total 399 sequences.
Successfuly read hg38_species_name_cleaned/CITED2.fas, in total 392 sequences.
Successfuly read hg38_species_name_cleaned/CITED4.fas, in total 374 sequences.
Successfuly read hg38_species_name_cleaned/CIZ1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CKAP2.fas, in total 393 sequences.
Successfuly read hg38_species_name_cleaned/CKAP2L.fas, in total 414 sequences.
Successfuly read hg38_species_name_cleaned/CKAP4.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/CKAP5.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CKB.fas, in total 410 sequences.
Successfuly read hg38_species_name_cleaned/CKLF.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/CKM.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/CKMT1A.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/CKMT1B.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CKMT2.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CKS1B.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CKS2.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CLASP1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CLASP2.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/CLASRP.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CLBA1.fas, in total 379 sequences.
Successfuly read hg38_species_name_cleaned/CLCA1.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/CLCA2.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/CLCA4.fas, in total 402 sequences.
Successfuly read hg38_species_name_cleaned/CLCC1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/CLCF1.fas, in total 439 sequences.
Successfuly read hg38_species_name_cleaned/CLCN1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/CLCN2.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/CLCN3.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/CLCN4.fas, in total 414 sequences.
